商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
8001090001184,1,ACE CAND.CLAS.PROFUM.1LT,18,1.26,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001090001184"
800148015232,1,ACE CAND.PIU SPRAY 650ML EXPO GENTILE,80,2.05,PZ,999,,📦,80,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/800148015232"
8001480723696,1,ACE CAND.PIU SPRAY 690ML CANDEGGINA,10,1.83,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723696"
8001480152298,1,ACE CAND.PIU SPRAY 690ML EXPO CANDEGGINA,80,2.05,PZ,999,,📦,80,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480152298"
8001480723719,1,ACE CAND.PIU SPRAY 690ML FR.PROFUMATA,10,1.83,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723719"
5413149415928,1,ACE CANDEG.CASA+BUC.PROF.3LT,6,2.47,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/5413149415928"
8001480709324,1,ACE CANDEG.PIU'700ML SPRAY+RICAR.PROFUM.,5,3.05,PZ,999,,📦,5,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709324"
8001480020887,1,ACE CANDEG.REGOLARE 1LT,18,1.05,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480020887"
5413149298095,1,ACE CANDEG.REGOLARE 4LT,4,2.29,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/5413149298095"
8001480719309,1,ACE CANDEGGINA 1 LT CLASSICA,18,1.06,PZ,999,,📦,18,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719309"
8001480719385,1,ACE CANDEGGINA 10 LT CLASSICA,1,4.75,PZ,999,,📦,1,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719385"
8001480719408,1,ACE CANDEGGINA 3 LT NEW CLASSICA,6,1.6,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719408"
8001480719422,1,ACE CANDEGGINA 3 LT NEW PROFUMATA,6,2.46,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480719422"
5413149415539,1,ACE CANDEGGINA 5LTx1PZ,2,2.49,PZ,999,,📦,2,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/5413149415539"
5413149415966,1,ACE CANDEGGINA CLAS.3LTx1PZ,6,1.56,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/5413149415966"
8001480713840,1,ACE CANDEGGINA DENSO PIU 1LT ARMONIE FLORE.SQUEIMP,12,1.24,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480713840"
8001480711051,1,ACE CANDEGGINA DENSO PIU' 3 LT ARMONIA FLOREALE,6,2.28,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480711051"
8001480709119,1,ACE CANDEGGINA DENSO PIU' 3 LT FRESCO PROFUMO,6,2.28,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709119"
8001480718739,1,ACE CANDEGGINA DENSO PIU' 4 LT ARMONIE FLOREALI,4,2.79,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480718739"
8001480718722,1,ACE CANDEGGINA DENSO PIU' 4 LT FRESCO PROFUMO,4,2.79,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480718722"
8001480709072,1,"ACE CANDEGGINA GEL 2,5LT DENSO+ FLOREALE",6,2.41,PZ,999,,📦,6,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709072"
8001480020368,1,ACE CANDEGGINA GEL NEW ML 500,15,1.39,PZ,999,,📦,15,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480020368"
8001480709126,1,ACE CANDEGGINA PIU' 1 LT ARMONIE FLOREALI SQUEEZEI SQUEEZE,12,1.44,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709126"
8001480709089,1,ACE CANDEGGINA PIU' 1 LT FRESCO PROFUMO SQUEEZE,12,1.44,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480709089"
8001480020368,1,ACE CANDEGGINA PIU' GEL 500 ML,15,1.39,PZ,999,,📦,15,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480020368"
8001480723757,1,ACE CANDEGGINA PIU' SPRAY 650 ML + RIC. 650 ML GENTILE,5,2.92,PZ,999,,📦,5,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723757"
8001480723672,1,ACE CANDEGGINA PIU' SPRAY 650 ML GENTILE,10,1.83,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723672"
8001480723740,1,ACE CANDEGGINA PIU' SPRAY 690 ML + RIC. 690 ML MOUSSE,5,2.92,PZ,999,,📦,5,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723740"
8001480723733,1,ACE CANDEGGINA PIU' SPRAY 690 ML + RIC. 690 ML MOUSSE FRESCO PROFUMATO,5,2.92,PZ,999,,📦,5,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723733"
8001480723696,1,ACE CANDEGGINA PIU' SPRAY 690 ML MOUSSE,10,1.83,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723696"
8001480723719,1,ACE CANDEGGINA PIU' SPRAY 690 ML MOUSSE FRESCO PROFUMO,10,1.83,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723719"
8001480723672,1,ACE CANDEGGINA SPRAY 650 ML GENTILE,10,1.83,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723672"
8001480723702,1,ACE CANDEGGINA SPRAY 690 ML RICARICA MOUSSE,10,1.57,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723702"
5413149153882,1,ACE CASA CREMAGEL 500MLx1PZ,15,0.89,PZ,999,,📦,15,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/5413149153882"
5413149105720,1,ACE CASA MULT.AGR/LIM.1LTMULT.,12,0.86,PZ,999,,📦,12,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/5413149105720"
8001480021273,1,ACE CREMA GEL 500 ML,15,0.99,PZ,999,,📦,15,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480021273"
8001480021273,1,ACE CREMA GEL NEW ML 500,15,0.99,PZ,999,,📦,15,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480021273"
8001480720701,1,ACE DETER.LIQ.21LAV.TALCO e MUSCHIO,3,2.14,PZ,999,,📦,3,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480720701"
8001480720794,1,ACE DETER.LIQ.27LAV.CLASS.IGIENIZ,4,2.51,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480720794"
8001480720800,1,ACE DETER.LIQ.27LAV.COLOR. IGIENIZ,4,2.51,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480720800"
8001480724976,1,ACE DETER.LIQ.27LAV.LAVANDA,3,2.6,PZ,999,,📦,3,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480724976"
8001480720817,1,ACE DETER.LIQ.27LAV.TALCO E MUSCHIO B.,4,2.51,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480720817"
8001480722545,1,ACE DETER.LIQ.56LAV.PROFESSIONAL CLASSICO,4,5.27,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480722545"
8001480722552,1,ACE DETER.LIQ.56LAV.PROFESSIONAL COLOR,4,5.27,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480722552"
8001480723023,1,ACE DETER.LIQ.80LAV.PROFESSIONAL COLORATI,4,6.8,PZ,999,,📦,4,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480723023"
8001480721388,1,ACE EROG. ML 600 BAGNO ANTICALCARE,10,1.66,PZ,999,,📦,10,,"https://res.cloudinary.com/dzcy6twle/image/upload/q_auto,f_auto/products/8001480721388"
