商品编号,所属分类ID,商品名称,规格描述,单价,计量单位,库存数量,商品标签,商品图标,规格选项,属性键值对,商品图片URL
8015100577163,0,PRIL GEL LIQ 608ML ALLin1 LIMONE,10,3.74,PZ,999,23783,📦,10,,
8015100579013,0,PRIL TABS X 24,7,3.74,PZ,999,25728,📦,7,,
8015100578993,0,PRIL TABS X 76,4,10.78,PZ,999,25674,📦,4,,
8004395022922,0,PROKRIN GEL BUSTA 500 E/FORTE,12,2.54,PZ,999,2788,📦,12,,
8004395002399,0,PROKRIN GEL BUSTA 500 FORTE,12,2.54,PZ,999,2787,📦,12,,
8004395002405,0,PROKRIN GEL VASO 100ML FORTE,12,0.83,PZ,999,19686,📦,12,,
5000204238242,0,PRONTO ALOE TRIGGER 500 ML,12,3.32,PZ,999,12245,📦,12,,
5000204158373,0,PRONTO LEGNO VIVO 200 ML,12,3.32,PZ,999,453,📦,12,,
5000204670967,0,PRONTO MOBILI SPRAY CLASSICO 300 ML,12,3.32,PZ,999,451,📦,12,,
5000204822830,0,PRONTO MOBILI SPRAY LAVANDA 300 ML,12,3.32,PZ,999,14531,📦,12,,
5000204011425,0,PRONTO MOBILI SPRAY OLIO NUTRIENTE,12,3.32,PZ,999,17858,📦,12,,
5000204218398,0,PRONTO MULTISUPER. TRIGGER 500 ML,12,3.32,PZ,999,12432,📦,12,,
80020073,0,PRONTO OLIO RESTAURATORE 100ML,12,4.2,PZ,999,1807,📦,12,,
5000204604573,0,PRONTO SUPERFICI DELICATE 750 ML,12,3.32,PZ,999,9705,📦,12,,
3600551142739,0,BALSAMO PROVOST 450ML NUTRITION,6,3.96,PZ,999,25618,📦,6,,
3600551135595,0,BALSAMO PROVOST 450ML RIPARATION,6,3.96,PZ,999,25619,📦,6,,
3600551029238,0,MASCHERA PROVOST 400ML NUTRITION,6,4.94,PZ,999,20260,📦,6,,
3600551135625,0,SH. PROVOST 500ML COLOR,6,3.96,PZ,999,25615,📦,6,,
3600551135687,0,SH. PROVOST 500ML LISSAGE,6,3.96,PZ,999,25616,📦,6,,
3600551135496,0,SH. PROVOST 500ML NUTRITION,6,3.96,PZ,999,25613,📦,6,,
3600551135564,0,SH. PROVOST 500ML RIPARATION,6,3.96,PZ,999,25614,📦,6,,
8002295000057,0,PULIRAPID LIQ. 500 ACETO,16,1.37,PZ,999,4570,📦,16,,
8002295016409,0,PULIRAPID LIQ. 500 CLASSICO,16,1.37,PZ,999,4563,📦,16,,
8002295000316,0,PULIRAPID SPRAY 500 CLASSICO,12,1.37,PZ,999,13146,📦,12,,
8002295001184,0,PULIRAPID SPRAY 500 ACETO,12,1.37,PZ,999,17196,📦,12,,
8054633837566,0,PULIRE DET LAVATRICE LT 5 BLU,2,2.44,PZ,999,18666,📦,2,,
8054633836392,0,PULIRE PAVIMENTI LT 1 PINO,6,0.61,PZ,999,17711,📦,6,,
8017331082577,0,PULISAN 500 ML CLASSICO,16,1.22,PZ,999,26784,📦,16,,
8003988813008,0,PUROAMORE AMMORB CONC 86L BLU,6,3.05,PZ,999,27401,📦,6,,
8003988813022,0,PUROAMORE AMMORB CONC 86L ORO,6,3.05,PZ,999,27402,📦,6,,
8003988813015,0,PUROAMORE AMMORB CONC 86L ROSA,6,3.05,PZ,999,27403,📦,6,,
8003988813039,0,PUROAMORE AMMORB CONC 86L VIOLA,6,3.05,PZ,999,27404,📦,6,,
8003988812810,0,PUROAMORE AMMORB LT3 60L BLU,4,2.32,PZ,999,26053,📦,4,,
8003988812827,0,PUROAMORE AMMORB LT3 60L ROSA,4,2.32,PZ,999,26054,📦,4,,
8003988812834,0,PUROAMORE AMMORB LT3 60L ORO,4,2.32,PZ,999,26055,📦,4,,
8003988812841,0,PUROAMORE AMMORB LT3 60L VIOLA,4,2.32,PZ,999,26056,📦,4,,
8003988813329,0,PUROAMORE CANDEGGINA DEL LT2 B/LATT,6,2.32,PZ,999,28064,📦,6,,
8003988812988,0,PUROAMORE CANDEGGINA DEL LT2 BLU,6,2.32,PZ,999,27399,📦,6,,
8003988812995,0,PUROAMORE CANDEGGINA DEL LT2 VERDE,6,2.32,PZ,999,27400,📦,6,,
8003988813305,0,PUROAMORE LAV 2025ML 45M B/LATTE,6,2.5,PZ,999,27941,📦,6,,
